Giorno;Gen;Feb;Mar;Apr;Mag;Giu;Lug;Ago;Set;Ott;Nov;Dic
13;0,000119382;2,08896E-06;9,42362E-05;4,60199E-05;5,41662E-05;3,44887E-05;9,69343E-05;0,000107596;6,63928E-05;8,29632E-06;4,96368E-05;1,51619E-06
14;2,60059E-05;7,91593E-05;8,2149E-05;4,22682E-05;2,3938E-05;9,04967E-05;3,23336E-05;9,59478E-05;4,94214E-05;4,97699E-05;3,81728E-05;7,17803E-05
15;0,000114926;2,99149E-05;5,22449E-05;4,28164E-05;3,68976E-05;3,31259E-05;0,000109599;9,00199E-05;8,18088E-05;0,000100781;0,000119042;3,27358E-05
16;5,51007E-05;0,000119529;9,01004E-05;3,99747E-05;1,29944E-05;0,000101461;2,5535E-05;1,07101E-05;9,38697E-05;1,59248E-05;8,89933E-05;0,000102551
17;6,37383E-05;6,78421E-05;0,000116165;3,23321E-05;1,78038E-05;4,38871E-05;2,20864E-05;4,62365E-05;8,06774E-05;2,68343E-05;9,59724E-05;8,25338E-05
18;0,000103494;9,96405E-05;5,35761E-05;2,29155E-05;6,93763E-05;0,000101911;3,44028E-05;4,65058E-06;5,53619E-05;0,000117732;6,19258E-05;3,11615E-05
19;8,08722E-05;6,26804E-05;4,75177E-05;0,000116621;9,06042E-05;3,45444E-05;8,17845E-05;7,13911E-06;2,23577E-05;3,18015E-05;5,36009E-05;2,08043E-05
20;2,43464E-05;4,08906E-05;5,76945E-05;7,70162E-06;6,03081E-05;7,32632E-05;5,82964E-05;6,08472E-05;7,61657E-06;4,5508E-06;9,27872E-05;2,31432E-05
21;4,64274E-05;5,74068E-05;0,000119333;2,27035E-05;4,44017E-05;4,82808E-05;7,9718E-05;0,00010882;2,59583E-05;9,53527E-05;0,000100729;5,26239E-05
22;5,74319E-05;5,6255E-05;7,51627E-05;2,35926E-05;1,71518E-05;0,000107862;2,79964E-05;7,58924E-05;3,91722E-05;1,99823E-05;1,53336E-06;9,11415E-06
23;5,84502E-05;1,47104E-05;0,000100577;6,10059E-05;1,13173E-07;1,66522E-05;6,21324E-05;2,5671E-05;0,000112791;0,000117014;1,75832E-05;4,82609E-05
24;6,90707E-05;4,40554E-05;3,61575E-05;0,000103664;7,56497E-06;0,000113445;2,41896E-05;4,98838E-05;0,000115736;4,53576E-05;8,15091E-05;9,89803E-05
25;6,91402E-05;6,17683E-05;7,41769E-05;8,54962E-05;0,000115633;4,76149E-05;9,19706E-05;0,000112435;8,49157E-05;3,60372E-05;3,76457E-05;7,90455E-05
26;2,60972E-05;1,62514E-05;5,81673E-05;5,00054E-07;5,50163E-05;3,56525E-05;0,000107295;2,84326E-05;3,30442E-05;0,000103927;7,41679E-05;0,000107852
27;1,59601E-05;2,05403E-05;0,000113526;5,60359E-05;2,88868E-06;0,000104144;9,43601E-05;6,1272E-05;0,00010181;4,24942E-05;7,78188E-05;7,90811E-05
28;6,38341E-05;2,91535E-05;0,000115489;5,24006E-05;5,05235E-05;4,99394E-05;2,45603E-05;6,50865E-05;6,27462E-05;5,02956E-05;0,000114555;5,467E-05
29;2,40474E-05;;9,15826E-05;7,18254E-05;6,12599E-05;0,000117661;4,10558E-05;9,71579E-05;2,99644E-05;1,5254E-05;9,47062E-05;8,35583E-05
30;6,77265E-05;;0,000103073;8,03675E-06;8,37598E-05;0,000105347;2,46275E-05;0,000117262;0,000111343;1,40924E-05;7,24887E-06;2,23179E-05
31;7,93341E-05;;1,77692E-05;;3,53313E-05;;2,42402E-05;9,09081E-06;;0,000102813;;8,82841E-05
